Action,Property Type,Property Name,Property Description,Property Value Type,Property Schema Status,Property Visibility,Property Is Array,Property Value Type,String Property Value Min Length,String Property Value Max Length,Number Is Integer,Number Property Value Min,Number Property Value Max,Array Unique Items,Array Min Items,Array Max Items,Enum Values,Const Value,Property Regex,Property First Seen,Property Last Seen
IGNORE,User Property,[Experiment] q125-interactive-product-tour-copriste-homepage-explore-the-demo-cta,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-02-24,2025-06-07
IGNORE,User Property,[Experiment] q125-pricing-50k-to-10k-mtu-content,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-03-03,2025-06-07
IGNORE,User Property,[Experiment] q225-campaign-webinars-coffee-chat-known-user-form-redirect,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-04-30,2025-06-07
IGNORE,User Property,[Experiment] q225-homepage-headline-with-platform-messaging,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-04-07,2025-06-07
IGNORE,User Property,[Experiment] q225-homepage-scrolled-content,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-04-02,2025-06-07
IGNORE,User Property,[Experiment] q225-interactive-product-tour-v2-explore-the-demo-cta,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-04-25,2025-06-07
IGNORE,User Property,[Experiment] q225-navigation-dropdown-engagement-test,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-06-06,2025-06-06
IGNORE,User Property,[Experiment] q424-ai-generated-headlines-on-get-started,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-11-13,2025-06-07
IGNORE,User Property,[Experiment] q424-corpsite-homepage-easy-data-setup-module,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-12-12,2025-06-07
IGNORE,User Property,[Experiment] q424-explore-demo-cta,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-11-13,2025-06-07
IGNORE,User Property,[Experiment] q424-request-a-demo-experiment,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-11-13,2025-06-07
IGNORE,User Property,[Experiment] request-a-demo-form-cta,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-11-13,2025-06-07
IGNORE,User Property,[Experiment] review_extension,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-02-19,2025-04-24
,User Property,[Experiment] scholarship-short-form,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2021-08-27,2025-05-19
IGNORE,User Property,[Experiment] sticky-cta-bar-optimization--get-started-page-2025-04-24,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-04-24,2025-04-24
IGNORE,User Property,[Experiment] test,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2023-07-14,2025-06-07
